unique_id,ds,y
EMBASSY PARK_11KV LUMAX,2026-05-11 05:30:00,1.83
EMBASSY PARK_11KV LUMAX,2026-05-11 05:33:00,1.79
EMBASSY PARK_11KV LUMAX,2026-05-11 05:36:00,1.83
EMBASSY PARK_11KV LUMAX,2026-05-11 05:39:00,1.74
EMBASSY PARK_11KV LUMAX,2026-05-11 05:42:00,1.84
EMBASSY PARK_11KV LUMAX,2026-05-11 05:45:00,1.66
EMBASSY PARK_11KV LUMAX,2026-05-11 05:48:00,1.64
EMBASSY PARK_11KV LUMAX,2026-05-11 05:51:00,1.72
EMBASSY PARK_11KV LUMAX,2026-05-11 05:54:00,1.69
EMBASSY PARK_11KV LUMAX,2026-05-11 05:57:00,1.6
EMBASSY PARK_11KV LUMAX,2026-05-11 06:00:00,1.73
EMBASSY PARK_11KV LUMAX,2026-05-11 06:03:00,1.64
EMBASSY PARK_11KV LUMAX,2026-05-11 06:06:00,1.65
EMBASSY PARK_11KV LUMAX,2026-05-11 06:09:00,1.69
EMBASSY PARK_11KV LUMAX,2026-05-11 06:12:00,1.57
EMBASSY PARK_11KV LUMAX,2026-05-11 06:15:00,1.61
EMBASSY PARK_11KV LUMAX,2026-05-11 06:18:00,1.75
EMBASSY PARK_11KV LUMAX,2026-05-11 06:21:00,1.7
EMBASSY PARK_11KV LUMAX,2026-05-11 06:24:00,1.62
EMBASSY PARK_11KV LUMAX,2026-05-11 06:27:00,1.65
EMBASSY PARK_11KV LUMAX,2026-05-11 06:30:00,1.66
EMBASSY PARK_11KV LUMAX,2026-05-11 06:33:00,1.62
EMBASSY PARK_11KV LUMAX,2026-05-11 06:36:00,1.63
EMBASSY PARK_11KV LUMAX,2026-05-11 06:39:00,1.68
EMBASSY PARK_11KV LUMAX,2026-05-11 06:42:00,1.66
EMBASSY PARK_11KV LUMAX,2026-05-11 06:45:00,1.65
EMBASSY PARK_11KV LUMAX,2026-05-11 06:48:00,1.75
EMBASSY PARK_11KV LUMAX,2026-05-11 06:51:00,1.53
EMBASSY PARK_11KV LUMAX,2026-05-11 06:54:00,1.67
EMBASSY PARK_11KV LUMAX,2026-05-11 06:57:00,1.54
EMBASSY PARK_11KV LUMAX,2026-05-11 07:00:00,1.52
EMBASSY PARK_11KV LUMAX,2026-05-11 07:03:00,1.56
EMBASSY PARK_11KV LUMAX,2026-05-11 07:06:00,1.56
EMBASSY PARK_11KV LUMAX,2026-05-11 07:09:00,1.57
EMBASSY PARK_11KV LUMAX,2026-05-11 07:12:00,1.64
EMBASSY PARK_11KV LUMAX,2026-05-11 07:15:00,1.58
EMBASSY PARK_11KV LUMAX,2026-05-11 07:18:00,1.6
EMBASSY PARK_11KV LUMAX,2026-05-11 07:21:00,1.48
EMBASSY PARK_11KV LUMAX,2026-05-11 07:24:00,1.61
EMBASSY PARK_11KV LUMAX,2026-05-11 07:27:00,1.37
EMBASSY PARK_11KV LUMAX,2026-05-11 07:30:00,1.58
EMBASSY PARK_11KV LUMAX,2026-05-11 07:33:00,1.44
EMBASSY PARK_11KV LUMAX,2026-05-11 07:36:00,1.42
EMBASSY PARK_11KV LUMAX,2026-05-11 07:39:00,1.55
EMBASSY PARK_11KV LUMAX,2026-05-11 07:42:00,1.55
EMBASSY PARK_11KV LUMAX,2026-05-11 07:45:00,1.53
EMBASSY PARK_11KV LUMAX,2026-05-11 07:48:00,1.76
EMBASSY PARK_11KV LUMAX,2026-05-11 07:51:00,1.62
EMBASSY PARK_11KV LUMAX,2026-05-11 07:54:00,1.69
EMBASSY PARK_11KV LUMAX,2026-05-11 07:57:00,1.65
EMBASSY PARK_11KV LUMAX,2026-05-11 08:00:00,1.82
EMBASSY PARK_11KV LUMAX,2026-05-11 08:03:00,1.79
EMBASSY PARK_11KV LUMAX,2026-05-11 08:06:00,1.79
EMBASSY PARK_11KV LUMAX,2026-05-11 08:09:00,1.75
EMBASSY PARK_11KV LUMAX,2026-05-11 08:12:00,1.8
EMBASSY PARK_11KV LUMAX,2026-05-11 08:15:00,1.74
EMBASSY PARK_11KV LUMAX,2026-05-11 08:18:00,1.73
EMBASSY PARK_11KV LUMAX,2026-05-11 08:21:00,1.84
EMBASSY PARK_11KV LUMAX,2026-05-11 08:24:00,1.78
EMBASSY PARK_11KV LUMAX,2026-05-11 08:27:00,1.38
EMBASSY PARK_11KV LUMAX,2026-05-11 08:30:00,1.6
EMBASSY PARK_11KV LUMAX,2026-05-11 08:33:00,1.53
EMBASSY PARK_11KV LUMAX,2026-05-11 08:36:00,1.46
EMBASSY PARK_11KV LUMAX,2026-05-11 08:39:00,1.49
EMBASSY PARK_11KV LUMAX,2026-05-11 08:42:00,1.39
EMBASSY PARK_11KV LUMAX,2026-05-11 08:45:00,1.56
EMBASSY PARK_11KV LUMAX,2026-05-11 08:48:00,1.49
EMBASSY PARK_11KV LUMAX,2026-05-11 08:51:00,1.44
EMBASSY PARK_11KV LUMAX,2026-05-11 08:54:00,1.38
EMBASSY PARK_11KV LUMAX,2026-05-11 08:57:00,1.54
EMBASSY PARK_11KV LUMAX,2026-05-11 09:00:00,1.54
EMBASSY PARK_11KV LUMAX,2026-05-11 09:03:00,1.44
EMBASSY PARK_11KV LUMAX,2026-05-11 09:06:00,1.39
EMBASSY PARK_11KV LUMAX,2026-05-11 09:09:00,1.38
EMBASSY PARK_11KV LUMAX,2026-05-11 09:12:00,1.38
EMBASSY PARK_11KV LUMAX,2026-05-11 09:15:00,1.44
EMBASSY PARK_11KV LUMAX,2026-05-11 09:18:00,1.4
EMBASSY PARK_11KV LUMAX,2026-05-11 09:21:00,1.54
EMBASSY PARK_11KV LUMAX,2026-05-11 09:24:00,1.33
EMBASSY PARK_11KV LUMAX,2026-05-11 09:27:00,1.31
EMBASSY PARK_11KV LUMAX,2026-05-11 09:30:00,1.33
EMBASSY PARK_11KV LUMAX,2026-05-11 09:33:00,1.33
EMBASSY PARK_11KV LUMAX,2026-05-11 09:36:00,1.41
EMBASSY PARK_11KV LUMAX,2026-05-11 09:39:00,1.43
EMBASSY PARK_11KV LUMAX,2026-05-11 09:42:00,1.33
EMBASSY PARK_11KV LUMAX,2026-05-11 09:45:00,1.36
EMBASSY PARK_11KV LUMAX,2026-05-11 09:48:00,1.55
EMBASSY PARK_11KV LUMAX,2026-05-11 09:51:00,1.51
EMBASSY PARK_11KV LUMAX,2026-05-11 09:54:00,1.43
EMBASSY PARK_11KV LUMAX,2026-05-11 09:57:00,1.5
EMBASSY PARK_11KV LUMAX,2026-05-11 10:00:00,1.44
EMBASSY PARK_11KV LUMAX,2026-05-11 10:03:00,1.38
EMBASSY PARK_11KV LUMAX,2026-05-11 10:06:00,1.4
EMBASSY PARK_11KV LUMAX,2026-05-11 10:09:00,1.42
EMBASSY PARK_11KV LUMAX,2026-05-11 10:12:00,1.38
EMBASSY PARK_11KV LUMAX,2026-05-11 10:15:00,1.42
EMBASSY PARK_11KV LUMAX,2026-05-11 10:18:00,1.46
EMBASSY PARK_11KV LUMAX,2026-05-11 10:21:00,1.32
EMBASSY PARK_11KV LUMAX,2026-05-11 10:24:00,1.36
EMBASSY PARK_11KV LUMAX,2026-05-11 10:27:00,1.32
EMBASSY PARK_11KV LUMAX,2026-05-11 10:30:00,1.49
EMBASSY PARK_11KV LUMAX,2026-05-11 10:33:00,1.38
EMBASSY PARK_11KV LUMAX,2026-05-11 10:36:00,1.46
EMBASSY PARK_11KV LUMAX,2026-05-11 10:39:00,1.42
EMBASSY PARK_11KV LUMAX,2026-05-11 10:42:00,1.45
EMBASSY PARK_11KV LUMAX,2026-05-11 10:45:00,1.38
EMBASSY PARK_11KV LUMAX,2026-05-11 10:48:00,1.37
EMBASSY PARK_11KV LUMAX,2026-05-11 10:51:00,1.34
EMBASSY PARK_11KV LUMAX,2026-05-11 10:54:00,1.39
EMBASSY PARK_11KV LUMAX,2026-05-11 10:57:00,1.38
EMBASSY PARK_11KV LUMAX,2026-05-11 11:00:00,1.38
EMBASSY PARK_11KV LUMAX,2026-05-11 11:03:00,1.45
EMBASSY PARK_11KV LUMAX,2026-05-11 11:06:00,1.28
EMBASSY PARK_11KV LUMAX,2026-05-11 11:09:00,1.48
EMBASSY PARK_11KV LUMAX,2026-05-11 11:12:00,1.37
EMBASSY PARK_11KV LUMAX,2026-05-11 11:15:00,1.36
EMBASSY PARK_11KV LUMAX,2026-05-11 11:18:00,1.37
EMBASSY PARK_11KV LUMAX,2026-05-11 11:21:00,1.22
EMBASSY PARK_11KV LUMAX,2026-05-11 11:24:00,1.35
EMBASSY PARK_11KV LUMAX,2026-05-11 11:27:00,1.32
EMBASSY PARK_11KV LUMAX,2026-05-11 11:30:00,1.4
EMBASSY PARK_11KV LUMAX,2026-05-11 11:33:00,1.33
EMBASSY PARK_11KV LUMAX,2026-05-11 11:36:00,1.36
EMBASSY PARK_11KV LUMAX,2026-05-11 11:39:00,1.32
EMBASSY PARK_11KV LUMAX,2026-05-11 11:42:00,1.33
EMBASSY PARK_11KV LUMAX,2026-05-11 11:45:00,1.47
EMBASSY PARK_11KV LUMAX,2026-05-11 11:48:00,1.49
EMBASSY PARK_11KV LUMAX,2026-05-11 11:51:00,1.37
EMBASSY PARK_11KV LUMAX,2026-05-11 11:54:00,1.33
EMBASSY PARK_11KV LUMAX,2026-05-11 11:57:00,1.36
EMBASSY PARK_11KV LUMAX,2026-05-11 12:00:00,1.34
EMBASSY PARK_11KV LUMAX,2026-05-11 12:03:00,1.3
EMBASSY PARK_11KV LUMAX,2026-05-11 12:06:00,1.27
EMBASSY PARK_11KV LUMAX,2026-05-11 12:09:00,1.32
EMBASSY PARK_11KV LUMAX,2026-05-11 12:12:00,1.38
EMBASSY PARK_11KV LUMAX,2026-05-11 12:15:00,1.32
EMBASSY PARK_11KV LUMAX,2026-05-11 12:18:00,1.44
EMBASSY PARK_11KV LUMAX,2026-05-11 12:21:00,1.34
EMBASSY PARK_11KV LUMAX,2026-05-11 12:24:00,1.37
EMBASSY PARK_11KV LUMAX,2026-05-11 12:27:00,1.36
EMBASSY PARK_11KV LUMAX,2026-05-11 12:30:00,1.38
EMBASSY PARK_11KV LUMAX,2026-05-11 12:33:00,1.29
EMBASSY PARK_11KV LUMAX,2026-05-11 12:36:00,1.43
EMBASSY PARK_11KV LUMAX,2026-05-11 12:39:00,1.34
EMBASSY PARK_11KV LUMAX,2026-05-11 12:42:00,1.49
EMBASSY PARK_11KV LUMAX,2026-05-11 12:45:00,1.4
EMBASSY PARK_11KV LUMAX,2026-05-11 12:48:00,1.41
EMBASSY PARK_11KV LUMAX,2026-05-11 12:51:00,1.37
EMBASSY PARK_11KV LUMAX,2026-05-11 12:54:00,1.43
EMBASSY PARK_11KV LUMAX,2026-05-11 12:57:00,1.43
EMBASSY PARK_11KV LUMAX,2026-05-11 13:00:00,1.34
EMBASSY PARK_11KV LUMAX,2026-05-11 13:03:00,1.45
