unique_id,ds,y,IR,IY,IB,VRY,VYB,VBR,hour,day
,2026-11-05 01:45:00,1.42,73.9,70.9,76.1,10.9,10.9,10.9,1,3
,2026-11-05 01:45:00,2.13,115.0,104.0,111.0,10.9,10.8,10.9,1,3
,2026-11-05 01:48:00,1.46,69.4,74.5,72.2,10.9,10.9,10.9,1,3
,2026-11-05 01:48:00,300.0,14.1,15.6,13.7,11.2,11.2,11.2,1,3
,2026-11-05 01:48:00,1.37,74.2,71.0,75.6,10.9,10.9,10.9,1,3
,2026-11-05 01:48:00,2.13,113.0,104.0,111.0,10.8,10.8,10.9,1,3
,2026-11-05 01:48:00,1.4,76.3,75.1,73.1,10.9,10.8,10.9,1,3
,2026-11-05 01:51:00,1.43,74.1,79.3,76.9,10.9,10.9,10.9,1,3
,2026-11-05 01:51:00,1.38,74.0,71.3,74.5,10.9,10.9,11.0,1,3
,2026-11-05 01:51:00,2.14,114.0,106.0,110.0,10.9,10.8,10.9,1,3
,2026-11-05 01:51:00,1.44,77.3,78.1,77.0,10.8,10.8,10.9,1,3
,2026-11-05 01:51:00,258.0,15.4,16.0,14.5,11.2,11.2,11.2,1,3
,2026-11-05 01:54:00,1.38,74.5,70.3,75.3,10.9,10.9,10.9,1,3
,2026-11-05 01:54:00,2.13,113.0,106.0,112.0,10.8,10.8,10.9,1,3
,2026-11-05 01:54:00,263.0,13.6,14.3,13.2,11.2,11.2,11.2,1,3
,2026-11-05 01:54:00,1.39,74.0,73.6,73.4,10.8,10.8,10.8,1,3
,2026-11-05 01:54:00,1.58,76.1,83.5,80.1,10.9,10.9,10.9,1,3
,2026-11-05 01:57:00,1.36,73.5,69.8,74.6,10.9,10.9,10.9,1,3
,2026-11-05 01:57:00,1.39,75.8,74.6,72.6,10.8,10.8,10.9,1,3
,2026-11-05 01:57:00,260.0,13.6,14.3,13.2,11.2,11.2,11.2,1,3
,2026-11-05 01:57:00,1.52,76.1,83.5,80.1,10.9,10.9,10.9,1,3
,2026-11-05 01:57:00,2.14,113.0,106.0,113.0,10.8,10.8,10.9,1,3
,2026-11-05 02:00:00,279.0,13.7,14.5,13.3,11.2,11.2,11.2,2,3
,2026-11-05 02:00:00,1.38,74.0,71.7,74.9,10.9,10.9,11.0,2,3
,2026-11-05 02:00:00,1.52,75.2,81.5,78.3,10.9,10.9,10.9,2,3
,2026-11-05 02:00:00,1.39,75.5,74.6,72.3,10.9,10.8,10.9,2,3
,2026-11-05 02:00:00,2.11,113.0,105.0,114.0,10.9,10.8,10.9,2,3
,2026-11-05 02:03:00,1.41,74.9,74.6,73.0,10.8,10.8,10.9,2,3
